S_no,ContractSymbol,ExchangeSymbol,Timeframe,no_of_lot,Quantity
0.0,ACC,NSE,5.0,1.0,100.0
1.0,ADANIENT,NSE,5.0,1.0,100.0
2.0,ADANIPORT,NSE,5.0,1.0,100.0
3.0,ADANIPOWE,NSE,5.0,1.0,100.0
4.0,AMARAJABA,NSE,5.0,1.0,100.0
5.0,AMBUJACEM,NSE,5.0,1.0,100.0
6.0,APOLLOHOS,NSE,5.0,1.0,100.0
7.0,APOLLOTYR,NSE,5.0,1.0,100.0
8.0,ASHOKLEY,NSE,5.0,1.0,100.0
9.0,ASIANPAIN,NSE,5.0,1.0,100.0
10.0,AUROPHARM,NSE,5.0,1.0,100.0
11.0,AXISBANK,NSE,5.0,1.0,100.0
12.0,BAJAJ-AUT,NSE,5.0,1.0,100.0
13.0,BAJAJFINS,NSE,5.0,1.0,100.0
14.0,BAJFINANC,NSE,5.0,1.0,100.0
15.0,BALKRISIN,NSE,5.0,1.0,100.0
16.0,BANKBAROD,NSE,5.0,1.0,100.0
17.0,BANKNIFTY,NSE,5.0,1.0,100.0
18.0,BATAINDIA,NSE,5.0,1.0,100.0
19.0,BEL,NSE,5.0,1.0,100.0
20.0,BERGEPAIN,NSE,5.0,1.0,100.0
21.0,BHARATFOR,NSE,5.0,1.0,100.0
22.0,BHARTIART,NSE,5.0,1.0,100.0
23.0,BHEL,NSE,5.0,1.0,100.0
24.0,BIOCON,NSE,5.0,1.0,100.0
25.0,BOSCHLTD,NSE,5.0,1.0,100.0
26.0,BPCL,NSE,5.0,1.0,100.0
27.0,BRITANNIA,NSE,5.0,1.0,100.0
28.0,CADILAHC,NSE,5.0,1.0,100.0
29.0,CANBK,NSE,5.0,1.0,100.0
30.0,CENTURYTE,NSE,5.0,1.0,100.0
31.0,CESC,NSE,5.0,1.0,100.0
32.0,CHOLAFIN,NSE,5.0,1.0,100.0
33.0,CIPLA,NSE,5.0,1.0,100.0
34.0,COALINDIA,NSE,5.0,1.0,100.0
35.0,COLPAL,NSE,5.0,1.0,100.0
36.0,CONCOR,NSE,5.0,1.0,100.0
37.0,CUMMINSIN,NSE,5.0,1.0,100.0
38.0,DABUR,NSE,5.0,1.0,100.0
39.0,DIVISLAB,NSE,5.0,1.0,100.0
40.0,DLF,NSE,5.0,1.0,100.0
41.0,DRREDDY,NSE,5.0,1.0,100.0
42.0,EICHERMOT,NSE,5.0,1.0,100.0
43.0,EQUITAS,NSE,5.0,1.0,100.0
44.0,ESCORTS,NSE,5.0,1.0,100.0
45.0,EXIDEIND,NSE,5.0,1.0,100.0
46.0,FEDERALBN,NSE,5.0,1.0,100.0
47.0,GAIL,NSE,5.0,1.0,100.0
48.0,GLENMARK,NSE,5.0,1.0,100.0
49.0,GMRINFRA,NSE,5.0,1.0,100.0
50.0,GODREJCP,NSE,5.0,1.0,100.0
51.0,GRASIM,NSE,5.0,1.0,100.0
52.0,HAVELLS,NSE,5.0,1.0,100.0
53.0,HCLTECH,NSE,5.0,1.0,100.0
54.0,HDFC,NSE,5.0,1.0,100.0
55.0,HDFCBANK,NSE,5.0,1.0,100.0
56.0,HEROMOTOC,NSE,5.0,1.0,100.0
57.0,HINDALCO,NSE,5.0,1.0,100.0
58.0,HINDPETRO,NSE,5.0,1.0,100.0
59.0,HINDUNILV,NSE,5.0,1.0,100.0
60.0,IBULHSGFI,NSE,5.0,1.0,100.0
61.0,ICICIBANK,NSE,5.0,1.0,100.0
62.0,ICICIPRUL,NSE,5.0,1.0,100.0
63.0,IDEA,NSE,5.0,1.0,100.0
64.0,IDFCFIRST,NSE,5.0,1.0,100.0
65.0,IGL,NSE,5.0,1.0,100.0
66.0,INDIGO,NSE,5.0,1.0,100.0
67.0,INDUSINDB,NSE,5.0,1.0,100.0
68.0,INFRATEL,NSE,5.0,1.0,100.0
69.0,INFY,NSE,5.0,1.0,100.0
70.0,IOC,NSE,5.0,1.0,100.0
71.0,ITC,NSE,5.0,1.0,100.0
72.0,JINDALSTE,NSE,5.0,1.0,100.0
73.0,JSWSTEEL,NSE,5.0,1.0,100.0
74.0,JUBLFOOD,NSE,5.0,1.0,100.0
75.0,JUSTDIAL,NSE,5.0,1.0,100.0
76.0,KOTAKBANK,NSE,5.0,1.0,100.0
77.0,LICHSGFIN,NSE,5.0,1.0,100.0
78.0,LT,NSE,5.0,1.0,100.0
79.0,LTFH,NSE,5.0,1.0,100.0
80.0,LUPIN,NSE,5.0,1.0,100.0
81.0,MANAPPURA,NSE,5.0,1.0,100.0
82.0,MARICO,NSE,5.0,1.0,100.0
83.0,MARUTI,NSE,5.0,1.0,100.0
84.0,MCDOWELL-,NSE,5.0,1.0,100.0
85.0,MFSL,NSE,5.0,1.0,100.0
86.0,MGL,NSE,5.0,1.0,100.0
87.0,MINDTREE,NSE,5.0,1.0,100.0
88.0,MM,NSE,5.0,1.0,100.0
89.0,MMFIN,NSE,5.0,1.0,100.0
90.0,MOTHERSUM,NSE,5.0,1.0,100.0
91.0,MRF,NSE,5.0,1.0,100.0
92.0,MUTHOOTFI,NSE,5.0,1.0,100.0
93.0,NATIONALU,NSE,5.0,1.0,100.0
94.0,NCC,NSE,5.0,1.0,100.0
95.0,NESTLEIND,NSE,5.0,1.0,100.0
96.0,NIFTY50,NSE,5.0,1.0,100.0
97.0,NIITTECH,NSE,5.0,1.0,100.0
98.0,NMDC,NSE,5.0,1.0,100.0
99.0,NTPC,NSE,5.0,1.0,100.0
100.0,OIL,NSE,5.0,1.0,100.0
101.0,ONGC,NSE,5.0,1.0,100.0
102.0,PAGEIND,NSE,5.0,1.0,100.0
103.0,PEL,NSE,5.0,1.0,100.0
104.0,PETRONET,NSE,5.0,1.0,100.0
105.0,PFC,NSE,5.0,1.0,100.0
106.0,PIDILITIN,NSE,5.0,1.0,100.0
107.0,PNB,NSE,5.0,1.0,100.0
108.0,POWERGRID,NSE,5.0,1.0,100.0
109.0,PVR,NSE,5.0,1.0,100.0
110.0,RAMCOCEM,NSE,5.0,1.0,100.0
111.0,RBLBANK,NSE,5.0,1.0,100.0
112.0,RECLTD,NSE,5.0,1.0,100.0
113.0,RELIANCE,NSE,5.0,1.0,100.0
114.0,SAIL,NSE,5.0,1.0,100.0
115.0,SBIN,NSE,5.0,1.0,100.0
116.0,SHREECEM,NSE,5.0,1.0,100.0
117.0,SIEMENS,NSE,5.0,1.0,100.0
118.0,SRF,NSE,5.0,1.0,100.0
119.0,SRTRANSFI,NSE,5.0,1.0,100.0
120.0,SUNPHARMA,NSE,5.0,1.0,100.0
121.0,SUNTV,NSE,5.0,1.0,100.0
122.0,TATACHEM,NSE,5.0,1.0,100.0
123.0,TATACONSU,NSE,5.0,1.0,100.0
124.0,TATAMOTOR,NSE,5.0,1.0,100.0
125.0,TATAPOWER,NSE,5.0,1.0,100.0
126.0,TATASTEEL,NSE,5.0,1.0,100.0
127.0,TCS,NSE,5.0,1.0,100.0
128.0,TECHM,NSE,5.0,1.0,100.0
129.0,TITAN,NSE,5.0,1.0,100.0
130.0,TORNTPHAR,NSE,5.0,1.0,100.0
131.0,TORNTPOWE,NSE,5.0,1.0,100.0
132.0,TVSMOTOR,NSE,5.0,1.0,100.0
133.0,UBL,NSE,5.0,1.0,100.0
134.0,UJJIVAN,NSE,5.0,1.0,100.0
135.0,ULTRACEMC,NSE,5.0,1.0,100.0
136.0,UPL,NSE,5.0,1.0,100.0
137.0,VEDL,NSE,5.0,1.0,100.0
138.0,VOLTAS,NSE,5.0,1.0,100.0
139.0,WIPRO,NSE,5.0,1.0,100.0
140.0,YESBANK,NSE,5.0,1.0,100.0
141.0,ZEEL,NSE,5.0,1.0,100.0
